cluster,year_week,year,week,num_hechos,date_year_week,year_month
0,2017 30,2017,30,2,2017-07-30,2017-7
0,2017 31,2017,31,3,2017-08-06,2017-8
0,2017 32,2017,32,2,2017-08-13,2017-8
0,2017 33,2017,33,2,2017-08-20,2017-8
0,2017 34,2017,34,4,2017-08-27,2017-8
0,2017 35,2017,35,4,2017-09-03,2017-9
0,2017 36,2017,36,3,2017-09-10,2017-9
0,2017 37,2017,37,5,2017-09-17,2017-9
0,2017 38,2017,38,3,2017-09-24,2017-9
0,2017 39,2017,39,6,2017-10-01,2017-10
0,2017 40,2017,40,5,2017-10-08,2017-10
0,2017 41,2017,41,3,2017-10-15,2017-10
0,2017 42,2017,42,4,2017-10-22,2017-10
0,2017 43,2017,43,2,2017-10-29,2017-10
0,2017 44,2017,44,3,2017-11-05,2017-11
0,2017 45,2017,45,6,2017-11-12,2017-11
0,2017 46,2017,46,2,2017-11-19,2017-11
0,2017 47,2017,47,2,2017-11-26,2017-11
0,2017 48,2017,48,2,2017-12-03,2017-12
0,2017 49,2017,49,1,2017-12-10,2017-12
0,2017 50,2017,50,6,2017-12-17,2017-12
0,2017 51,2017,51,4,2017-12-24,2017-12
0,2017 52,2017,52,2,2017-12-31,2017-12
0,2018 01,2018,01,3,2018-01-07,2018-1
0,2018 02,2018,02,1,2018-01-14,2018-1
0,2018 04,2018,04,1,2018-01-28,2018-1
0,2018 07,2018,07,2,2018-02-18,2018-2
0,2018 08,2018,08,1,2018-02-25,2018-2
0,2018 14,2018,14,3,2018-04-08,2018-4
0,2018 15,2018,15,3,2018-04-15,2018-4
0,2018 16,2018,16,3,2018-04-22,2018-4
0,2018 17,2018,17,1,2018-04-29,2018-4
0,2018 21,2018,21,1,2018-05-27,2018-5
0,2018 23,2018,23,1,2018-06-10,2018-6
0,2018 24,2018,24,1,2018-06-17,2018-6
0,2018 25,2018,25,2,2018-06-24,2018-6
0,2018 26,2018,26,4,2018-07-01,2018-7
0,2018 27,2018,27,2,2018-07-08,2018-7
0,2018 28,2018,28,4,2018-07-15,2018-7
0,2018 29,2018,29,7,2018-07-22,2018-7
0,2018 30,2018,30,1,2018-07-29,2018-7
0,2018 31,2018,31,2,2018-08-05,2018-8
0,2018 32,2018,32,7,2018-08-12,2018-8
0,2018 33,2018,33,1,2018-08-19,2018-8
0,2018 34,2018,34,1,2018-08-26,2018-8
0,2018 35,2018,35,3,2018-09-02,2018-9
0,2018 36,2018,36,2,2018-09-09,2018-9
0,2018 37,2018,37,1,2018-09-16,2018-9
0,2018 38,2018,38,2,2018-09-23,2018-9
0,2018 39,2018,39,3,2018-09-30,2018-9
0,2018 40,2018,40,1,2018-10-07,2018-10
0,2018 43,2018,43,4,2018-10-28,2018-10
0,2018 44,2018,44,1,2018-11-04,2018-11
0,2018 45,2018,45,6,2018-11-11,2018-11
0,2018 46,2018,46,2,2018-11-18,2018-11
0,2018 47,2018,47,1,2018-11-25,2018-11
0,2018 48,2018,48,2,2018-12-02,2018-12
0,2018 49,2018,49,3,2018-12-09,2018-12
0,2018 50,2018,50,4,2018-12-16,2018-12
0,2018 51,2018,51,2,2018-12-23,2018-12
0,2018 52,2018,52,2,2018-12-30,2018-12
0,2019 01,2019,01,8,2019-01-13,2019-1
0,2019 02,2019,02,1,2019-01-20,2019-1
0,2019 03,2019,03,3,2019-01-27,2019-1
0,2019 04,2019,04,1,2019-02-03,2019-2
0,2019 05,2019,05,2,2019-02-10,2019-2
0,2019 07,2019,07,3,2019-02-24,2019-2
0,2019 09,2019,09,3,2019-03-10,2019-3
0,2019 11,2019,11,3,2019-03-24,2019-3
0,2019 12,2019,12,6,2019-03-31,2019-3
0,2019 13,2019,13,1,2019-04-07,2019-4
0,2019 14,2019,14,2,2019-04-14,2019-4
0,2019 15,2019,15,1,2019-04-21,2019-4
0,2019 17,2019,17,3,2019-05-05,2019-5
0,2019 18,2019,18,2,2019-05-12,2019-5
0,2019 19,2019,19,1,2019-05-19,2019-5
0,2019 20,2019,20,1,2019-05-26,2019-5
0,2019 21,2019,21,3,2019-06-02,2019-6
0,2019 22,2019,22,1,2019-06-09,2019-6
0,2019 23,2019,23,1,2019-06-16,2019-6
0,2019 24,2019,24,1,2019-06-23,2019-6
0,2019 25,2019,25,1,2019-06-30,2019-6
0,2019 26,2019,26,3,2019-07-07,2019-7
